Party,Type,Counts,Prohibited act,Amount,Date
Kellogg Supply Inc.,Fertilizer civil penalty,2,ORS 633.366(1)(a),$250,11/02/2015
"Plant Revolution, Inc.",Fertilizer civil penalty,1,ORS 633.366(1)(e),$125,11/02/2015
"Sun Gro Horticulture Distribution, Inc.",Fertilizer civil penalty,2,ORS 633.366(1)(e),$500,10/29/2015
Advance Nutrients,Fertilizer civil penalty,2,ORS 633.366(1)(a),$250,10/28/2015
Advanced Nutrients,Fertilizer notice of violation,2,ORS 633.366(1)(e),,10/28/2015
"Cutting Edge Solutions, LLC",Fertilizer notice of violation,7,ORS 633.366(1)(a),,10/28/2015
"Cutting Edge Solutions, LLC",Fertilizer notice of violation,9,ORS 633.366(1)(e),,10/28/2015
"Monty's Plant Food Co., Inc.",Fertilizer notice of violation,2,ORS 633.366(1)(a),,10/28/2015
"Aurora Innovations, Inc.",Fertilizer notice of violation,2,ORS 633.366(1)(e),,10/27/2015
Nutrilife Plant Products,Fertilizer notice of violation,3,ORS 633.366(1)(a),,10/26/2015
"Oregro Seeds, Inc.",Fertilizer notice of violation,2,ORS 633.366(1)(a),,10/21/2015
"Samurai Greenhouse Supply, Inc.",Fertilizer civil penalty,6,ORS 633.366(1)(j),"$3,000",10/21/2015
"Redox Chemicals, LLC",Fertilizer notice of violation,1,ORS 633.366(1)(e),,10/19/2015
"Monsees and Company, Inc. (Tradewinds Wholesale Garden Supplies)",Fertilizer notice of violation,1,ORS 633.366(1)(e),,10/18/2015
"Archipelago Bat Guano, LLC",Fertilizer notice of violation,1,ORS 633.366(1)(a),,10/18/2015
"Naomi's Organic Farm Supply, Inc.",Fertilizer notice of violation,8,ORS 633.366(1)(e),,10/16/2015
"Naomi's Organic Farm Supply, Inc.",Fertilizer notice of violation,8,ORS 633.366(1)(a),,10/16/2015
"Urban Farm Store, LLC",Fertilizer notice of violation,10,ORS 633.366(1)(a),,10/16/2015
"Urban Farm Store, LLC",Fertilizer notice of violation,10,ORS 633.366(1)(e),,10/16/2015
Oregon Grown,Fertilizer notice of violation,4,ORS 633.366(1)(a),,10/05/2015
Oregon Grown,Fertilizer notice of violation,4,ORS 633.366(1)(e),,10/05/2015
"Teufel Products Company, LLC",Fertilizer notice of violation,1,ORS 633.366(1)(e),,09/06/2015
